pair,annotator,unit,estimand,threshold20,n_ab,value,p,dropped_by_threshold
02-04,gpt,sentence,raw_OR,False,35,2.0956,,False
02-05,gpt,sentence,raw_OR,False,367,4.0442,,False
02-06,gpt,sentence,raw_OR,False,116,0.6283,,False
02-07,gpt,sentence,raw_OR,False,190,0.8593,,False
02-08,gpt,sentence,raw_OR,False,182,4.6059,,False
03-04,gpt,sentence,raw_OR,False,14,0.7403,,False
03-05,gpt,sentence,raw_OR,False,290,2.3902,,False
03-06,gpt,sentence,raw_OR,False,232,1.4189,,False
03-07,gpt,sentence,raw_OR,False,259,1.2146,,False
03-08,gpt,sentence,raw_OR,False,173,3.9309,,False
04-05,gpt,sentence,raw_OR,False,127,1.7337,,False
04-06,gpt,sentence,raw_OR,False,81,0.805,,False
04-07,gpt,sentence,raw_OR,False,110,0.8749,,False
04-08,gpt,sentence,raw_OR,False,110,4.7301,,False
05-06,gpt,sentence,raw_OR,False,482,0.5007,,False
05-07,gpt,sentence,raw_OR,False,1136,1.2629,,False
05-08,gpt,sentence,raw_OR,False,513,2.9664,,False
06-07,gpt,sentence,raw_OR,False,1578,1.8474,,False
06-08,gpt,sentence,raw_OR,False,238,0.7876,,False
07-08,gpt,sentence,raw_OR,False,581,2.192,,False
01-02,gpt,sentence,raw_OR,True,362,4.4427,,False
01-03,gpt,sentence,raw_OR,True,443,5.9341,,False
01-04,gpt,sentence,raw_OR,True,105,1.4971,,False
01-05,gpt,sentence,raw_OR,True,1098,2.5623,,False
01-06,gpt,sentence,raw_OR,True,618,0.8015,,False
01-07,gpt,sentence,raw_OR,True,1020,1.2212,,False
01-08,gpt,sentence,raw_OR,True,505,3.2715,,False
02-03,gpt,sentence,raw_OR,True,42,1.2939,,False
02-04,gpt,sentence,raw_OR,True,35,2.0956,,False
02-05,gpt,sentence,raw_OR,True,367,4.0442,,False
02-06,gpt,sentence,raw_OR,True,116,0.6283,,False
02-07,gpt,sentence,raw_OR,True,190,0.8593,,False
02-08,gpt,sentence,raw_OR,True,182,4.6059,,False
03-04,gpt,sentence,raw_OR,True,14,,,True
03-05,gpt,sentence,raw_OR,True,290,2.3902,,False
03-06,gpt,sentence,raw_OR,True,232,1.4189,,False
03-07,gpt,sentence,raw_OR,True,259,1.2146,,False
03-08,gpt,sentence,raw_OR,True,173,3.9309,,False
04-05,gpt,sentence,raw_OR,True,127,1.7337,,False
04-06,gpt,sentence,raw_OR,True,81,0.805,,False
04-07,gpt,sentence,raw_OR,True,110,0.8749,,False
04-08,gpt,sentence,raw_OR,True,110,4.7301,,False
05-06,gpt,sentence,raw_OR,True,482,0.5007,,False
05-07,gpt,sentence,raw_OR,True,1136,1.2629,,False
05-08,gpt,sentence,raw_OR,True,513,2.9664,,False
06-07,gpt,sentence,raw_OR,True,1578,1.8474,,False
06-08,gpt,sentence,raw_OR,True,238,0.7876,,False
07-08,gpt,sentence,raw_OR,True,581,2.192,,False
01-02,gpt,sentence,lift,False,362,2.7043,,False
01-03,gpt,sentence,lift,False,443,3.0989,,False
01-04,gpt,sentence,lift,False,105,1.3693,,False
01-05,gpt,sentence,lift,False,1098,1.7563,,False
01-06,gpt,sentence,lift,False,618,0.8599,,False
01-07,gpt,sentence,lift,False,1020,1.1267,,False
01-08,gpt,sentence,lift,False,505,2.2256,,False
02-03,gpt,sentence,lift,False,42,1.2528,,False
02-04,gpt,sentence,lift,False,35,1.9463,,False
02-05,gpt,sentence,lift,False,367,2.5032,,False
02-06,gpt,sentence,lift,False,116,0.6882,,False
02-07,gpt,sentence,lift,False,190,0.8949,,False
02-08,gpt,sentence,lift,False,182,3.4203,,False
03-04,gpt,sentence,lift,False,14,0.729,,False
03-05,gpt,sentence,lift,False,290,1.8522,,False
03-06,gpt,sentence,lift,False,232,1.2889,,False
03-07,gpt,sentence,lift,False,259,1.1424,,False
03-08,gpt,sentence,lift,False,173,3.0444,,False
04-05,gpt,sentence,lift,False,127,1.5122,,False
04-06,gpt,sentence,lift,False,81,0.8389,,False
04-07,gpt,sentence,lift,False,110,0.9045,,False
04-08,gpt,sentence,lift,False,110,3.6087,,False
05-06,gpt,sentence,lift,False,482,0.6123,,False
05-07,gpt,sentence,lift,False,1136,1.1457,,False
05-08,gpt,sentence,lift,False,513,2.0642,,False
06-07,gpt,sentence,lift,False,1578,1.3843,,False
06-08,gpt,sentence,lift,False,238,0.833,,False
07-08,gpt,sentence,lift,False,581,1.6145,,False
01-02,gpt,sentence,lift,True,362,2.7043,,False
01-03,gpt,sentence,lift,True,443,3.0989,,False
01-04,gpt,sentence,lift,True,105,1.3693,,False
01-05,gpt,sentence,lift,True,1098,1.7563,,False
01-06,gpt,sentence,lift,True,618,0.8599,,False
01-07,gpt,sentence,lift,True,1020,1.1267,,False
01-08,gpt,sentence,lift,True,505,2.2256,,False
02-03,gpt,sentence,lift,True,42,1.2528,,False
02-04,gpt,sentence,lift,True,35,1.9463,,False
02-05,gpt,sentence,lift,True,367,2.5032,,False
02-06,gpt,sentence,lift,True,116,0.6882,,False
02-07,gpt,sentence,lift,True,190,0.8949,,False
02-08,gpt,sentence,lift,True,182,3.4203,,False
03-04,gpt,sentence,lift,True,14,,,True
03-05,gpt,sentence,lift,True,290,1.8522,,False
03-06,gpt,sentence,lift,True,232,1.2889,,False
03-07,gpt,sentence,lift,True,259,1.1424,,False
03-08,gpt,sentence,lift,True,173,3.0444,,False
04-05,gpt,sentence,lift,True,127,1.5122,,False
04-06,gpt,sentence,lift,True,81,0.8389,,False
04-07,gpt,sentence,lift,True,110,0.9045,,False
04-08,gpt,sentence,lift,True,110,3.6087,,False
05-06,gpt,sentence,lift,True,482,0.6123,,False
05-07,gpt,sentence,lift,True,1136,1.1457,,False
05-08,gpt,sentence,lift,True,513,2.0642,,False
06-07,gpt,sentence,lift,True,1578,1.3843,,False
06-08,gpt,sentence,lift,True,238,0.833,,False
07-08,gpt,sentence,lift,True,581,1.6145,,False
01-02,gpt,sentence,null_model,False,362,1.2255,0.0066,False
01-03,gpt,sentence,null_model,False,443,1.2332,0.0066,False
01-04,gpt,sentence,null_model,False,105,0.91,0.1063,False
01-05,gpt,sentence,null_model,False,1098,1.0354,0.0133,False
01-06,gpt,sentence,null_model,False,618,0.8463,0.0066,False
01-07,gpt,sentence,null_model,False,1020,1.0162,0.3056,False
01-08,gpt,sentence,null_model,False,505,1.164,0.0066,False
02-03,gpt,sentence,null_model,False,42,0.7614,0.0199,False
02-04,gpt,sentence,null_model,False,35,1.0086,1.0,False
02-05,gpt,sentence,null_model,False,367,1.0961,0.0066,False
02-06,gpt,sentence,null_model,False,116,0.74,0.0066,False
02-07,gpt,sentence,null_model,False,190,0.8276,0.0066,False
02-08,gpt,sentence,null_model,False,182,1.3211,0.0066,False
03-04,gpt,sentence,null_model,False,14,0.6936,0.093,False
03-05,gpt,sentence,null_model,False,290,1.0554,0.113,False
03-06,gpt,sentence,null_model,False,232,0.9796,0.6113,False
03-07,gpt,sentence,null_model,False,259,0.9911,0.8372,False
03-08,gpt,sentence,null_model,False,173,1.2484,0.0066,False
04-05,gpt,sentence,null_model,False,127,1.0599,0.3256,False
04-06,gpt,sentence,null_model,False,81,0.813,0.0066,False
04-07,gpt,sentence,null_model,False,110,0.8317,0.0066,False
04-08,gpt,sentence,null_model,False,110,1.2597,0.0066,False
05-06,gpt,sentence,null_model,False,482,0.735,0.0066,False
05-07,gpt,sentence,null_model,False,1136,1.0323,0.0266,False
05-08,gpt,sentence,null_model,False,513,1.107,0.0066,False
06-07,gpt,sentence,null_model,False,1578,1.0071,0.4917,False
06-08,gpt,sentence,null_model,False,238,0.7434,0.0066,False
07-08,gpt,sentence,null_model,False,581,0.9974,0.9767,False
01-02,gpt,sentence,null_model,True,362,1.2255,0.0066,False
01-03,gpt,sentence,null_model,True,443,1.2332,0.0066,False
01-04,gpt,sentence,null_model,True,105,0.91,0.1063,False
01-05,gpt,sentence,null_model,True,1098,1.0354,0.0133,False
01-06,gpt,sentence,null_model,True,618,0.8463,0.0066,False
01-07,gpt,sentence,null_model,True,1020,1.0162,0.3056,False
01-08,gpt,sentence,null_model,True,505,1.164,0.0066,False
02-03,gpt,sentence,null_model,True,42,0.7614,0.0199,False
02-04,gpt,sentence,null_model,True,35,1.0086,1.0,False
02-05,gpt,sentence,null_model,True,367,1.0961,0.0066,False
02-06,gpt,sentence,null_model,True,116,0.74,0.0066,False
02-07,gpt,sentence,null_model,True,190,0.8276,0.0066,False
02-08,gpt,sentence,null_model,True,182,1.3211,0.0066,False
03-04,gpt,sentence,null_model,True,14,,,True
03-05,gpt,sentence,null_model,True,290,1.0554,0.113,False
03-06,gpt,sentence,null_model,True,232,0.9796,0.6113,False
03-07,gpt,sentence,null_model,True,259,0.9911,0.8372,False
03-08,gpt,sentence,null_model,True,173,1.2484,0.0066,False
04-05,gpt,sentence,null_model,True,127,1.0599,0.3256,False
04-06,gpt,sentence,null_model,True,81,0.813,0.0066,False
04-07,gpt,sentence,null_model,True,110,0.8317,0.0066,False
04-08,gpt,sentence,null_model,True,110,1.2597,0.0066,False
05-06,gpt,sentence,null_model,True,482,0.735,0.0066,False
05-07,gpt,sentence,null_model,True,1136,1.0323,0.0266,False
05-08,gpt,sentence,null_model,True,513,1.107,0.0066,False
06-07,gpt,sentence,null_model,True,1578,1.0071,0.4917,False
06-08,gpt,sentence,null_model,True,238,0.7434,0.0066,False
07-08,gpt,sentence,null_model,True,581,0.9974,0.9767,False
01-02,gpt,sentence,conditional_OR(L1_gpt),False,362,1.9075,0.0,False
01-03,gpt,sentence,conditional_OR(L1_gpt),False,443,2.6897,0.0,False
01-04,gpt,sentence,conditional_OR(L1_gpt),False,105,1.1598,0.2911,False
01-05,gpt,sentence,conditional_OR(L1_gpt),False,1098,0.3841,0.0,False
01-06,gpt,sentence,conditional_OR(L1_gpt),False,618,0.9187,0.2088,False
01-07,gpt,sentence,conditional_OR(L1_gpt),False,1020,1.2571,0.0,False
01-08,gpt,sentence,conditional_OR(L1_gpt),False,505,1.7764,0.0,False
02-03,gpt,sentence,conditional_OR(L1_gpt),False,42,0.3713,0.0,False
02-04,gpt,sentence,conditional_OR(L1_gpt),False,35,1.18,0.4128,False
02-05,gpt,sentence,conditional_OR(L1_gpt),False,367,0.9688,0.802,False
02-06,gpt,sentence,conditional_OR(L1_gpt),False,116,0.8105,0.0668,False
02-07,gpt,sentence,conditional_OR(L1_gpt),False,190,0.6421,0.0,False
02-08,gpt,sentence,conditional_OR(L1_gpt),False,182,2.6001,0.0,False
03-04,gpt,sentence,conditional_OR(L1_gpt),False,14,0.4067,0.0046,False
03-05,gpt,sentence,conditional_OR(L1_gpt),False,290,0.629,0.0001,False
03-06,gpt,sentence,conditional_OR(L1_gpt),False,232,1.514,0.0,False
03-07,gpt,sentence,conditional_OR(L1_gpt),False,259,0.8775,0.1487,False
03-08,gpt,sentence,conditional_OR(L1_gpt),False,173,2.5139,0.0,False
04-05,gpt,sentence,conditional_OR(L1_gpt),False,127,1.2731,0.1701,False
04-06,gpt,sentence,conditional_OR(L1_gpt),False,81,0.713,0.0162,False
04-07,gpt,sentence,conditional_OR(L1_gpt),False,110,0.6423,0.0012,False
04-08,gpt,sentence,conditional_OR(L1_gpt),False,110,3.6664,0.0,False
05-06,gpt,sentence,conditional_OR(L1_gpt),False,482,0.5451,0.0,False
05-07,gpt,sentence,conditional_OR(L1_gpt),False,1136,1.4422,0.0,False
05-08,gpt,sentence,conditional_OR(L1_gpt),False,513,1.4329,0.0,False
06-07,gpt,sentence,conditional_OR(L1_gpt),False,1578,1.7994,0.0,False
06-08,gpt,sentence,conditional_OR(L1_gpt),False,238,0.7952,0.0106,False
07-08,gpt,sentence,conditional_OR(L1_gpt),False,581,2.1922,0.0,False
01-02,gpt,sentence,conditional_OR(L1_gpt),True,362,1.9075,0.0,False
01-03,gpt,sentence,conditional_OR(L1_gpt),True,443,2.6897,0.0,False
01-04,gpt,sentence,conditional_OR(L1_gpt),True,105,1.1598,0.2911,False
01-05,gpt,sentence,conditional_OR(L1_gpt),True,1098,0.3841,0.0,False
01-06,gpt,sentence,conditional_OR(L1_gpt),True,618,0.9187,0.2088,False
01-07,gpt,sentence,conditional_OR(L1_gpt),True,1020,1.2571,0.0,False
01-08,gpt,sentence,conditional_OR(L1_gpt),True,505,1.7764,0.0,False
02-03,gpt,sentence,conditional_OR(L1_gpt),True,42,0.3713,0.0,False
02-04,gpt,sentence,conditional_OR(L1_gpt),True,35,1.18,0.4128,False
02-05,gpt,sentence,conditional_OR(L1_gpt),True,367,0.9688,0.802,False
02-06,gpt,sentence,conditional_OR(L1_gpt),True,116,0.8105,0.0668,False
02-07,gpt,sentence,conditional_OR(L1_gpt),True,190,0.6421,0.0,False
02-08,gpt,sentence,conditional_OR(L1_gpt),True,182,2.6001,0.0,False
03-04,gpt,sentence,conditional_OR(L1_gpt),True,14,,,True
03-05,gpt,sentence,conditional_OR(L1_gpt),True,290,0.629,0.0001,False
03-06,gpt,sentence,conditional_OR(L1_gpt),True,232,1.514,0.0,False
03-07,gpt,sentence,conditional_OR(L1_gpt),True,259,0.8775,0.1487,False
03-08,gpt,sentence,conditional_OR(L1_gpt),True,173,2.5139,0.0,False
04-05,gpt,sentence,conditional_OR(L1_gpt),True,127,1.2731,0.1701,False
04-06,gpt,sentence,conditional_OR(L1_gpt),True,81,0.713,0.0162,False
04-07,gpt,sentence,conditional_OR(L1_gpt),True,110,0.6423,0.0012,False
04-08,gpt,sentence,conditional_OR(L1_gpt),True,110,3.6664,0.0,False
05-06,gpt,sentence,conditional_OR(L1_gpt),True,482,0.5451,0.0,False
05-07,gpt,sentence,conditional_OR(L1_gpt),True,1136,1.4422,0.0,False
05-08,gpt,sentence,conditional_OR(L1_gpt),True,513,1.4329,0.0,False
06-07,gpt,sentence,conditional_OR(L1_gpt),True,1578,1.7994,0.0,False
06-08,gpt,sentence,conditional_OR(L1_gpt),True,238,0.7952,0.0106,False
07-08,gpt,sentence,conditional_OR(L1_gpt),True,581,2.1922,0.0,False
01-02,gpt,sentence,conditional_OR(L1_ds),False,362,1.9589,0.0,False
01-03,gpt,sentence,conditional_OR(L1_ds),False,443,3.1127,0.0,False
01-04,gpt,sentence,conditional_OR(L1_ds),False,105,1.1495,0.3528,False
01-05,gpt,sentence,conditional_OR(L1_ds),False,1098,0.5334,0.0,False
01-06,gpt,sentence,conditional_OR(L1_ds),False,618,0.7563,0.0,False
01-07,gpt,sentence,conditional_OR(L1_ds),False,1020,1.1296,0.0281,False
01-08,gpt,sentence,conditional_OR(L1_ds),False,505,1.5482,0.0,False
02-03,gpt,sentence,conditional_OR(L1_ds),False,42,0.3566,0.0,False
02-04,gpt,sentence,conditional_OR(L1_ds),False,35,1.1075,0.6185,False
02-05,gpt,sentence,conditional_OR(L1_ds),False,367,0.8766,0.3011,False
02-06,gpt,sentence,conditional_OR(L1_ds),False,116,0.7669,0.0182,False
02-07,gpt,sentence,conditional_OR(L1_ds),False,190,0.6113,0.0,False
02-08,gpt,sentence,conditional_OR(L1_ds),False,182,2.1777,0.0,False
03-04,gpt,sentence,conditional_OR(L1_ds),False,14,0.3784,0.0034,False
03-05,gpt,sentence,conditional_OR(L1_ds),False,290,0.688,0.002,False
03-06,gpt,sentence,conditional_OR(L1_ds),False,232,1.4397,0.0002,False
03-07,gpt,sentence,conditional_OR(L1_ds),False,259,0.839,0.0519,False
03-08,gpt,sentence,conditional_OR(L1_ds),False,173,2.1243,0.0,False
04-05,gpt,sentence,conditional_OR(L1_ds),False,127,1.0352,0.8571,False
04-06,gpt,sentence,conditional_OR(L1_ds),False,81,0.7807,0.0773,False
04-07,gpt,sentence,conditional_OR(L1_ds),False,110,0.6389,0.0017,False
04-08,gpt,sentence,conditional_OR(L1_ds),False,110,3.3348,0.0,False
05-06,gpt,sentence,conditional_OR(L1_ds),False,482,0.4482,0.0,False
05-07,gpt,sentence,conditional_OR(L1_ds),False,1136,1.1179,0.0628,False
05-08,gpt,sentence,conditional_OR(L1_ds),False,513,1.0184,0.8314,False
06-07,gpt,sentence,conditional_OR(L1_ds),False,1578,1.5991,0.0,False
06-08,gpt,sentence,conditional_OR(L1_ds),False,238,0.7405,0.0007,False
07-08,gpt,sentence,conditional_OR(L1_ds),False,581,1.9597,0.0,False
01-02,gpt,sentence,conditional_OR(L1_ds),True,362,1.9589,0.0,False
01-03,gpt,sentence,conditional_OR(L1_ds),True,443,3.1127,0.0,False
01-04,gpt,sentence,conditional_OR(L1_ds),True,105,1.1495,0.3528,False
01-05,gpt,sentence,conditional_OR(L1_ds),True,1098,0.5334,0.0,False
01-06,gpt,sentence,conditional_OR(L1_ds),True,618,0.7563,0.0,False
01-07,gpt,sentence,conditional_OR(L1_ds),True,1020,1.1296,0.0281,False
01-08,gpt,sentence,conditional_OR(L1_ds),True,505,1.5482,0.0,False
02-03,gpt,sentence,conditional_OR(L1_ds),True,42,0.3566,0.0,False
02-04,gpt,sentence,conditional_OR(L1_ds),True,35,1.1075,0.6185,False
02-05,gpt,sentence,conditional_OR(L1_ds),True,367,0.8766,0.3011,False
02-06,gpt,sentence,conditional_OR(L1_ds),True,116,0.7669,0.0182,False
02-07,gpt,sentence,conditional_OR(L1_ds),True,190,0.6113,0.0,False
02-08,gpt,sentence,conditional_OR(L1_ds),True,182,2.1777,0.0,False
03-04,gpt,sentence,conditional_OR(L1_ds),True,14,,,True
03-05,gpt,sentence,conditional_OR(L1_ds),True,290,0.688,0.002,False
03-06,gpt,sentence,conditional_OR(L1_ds),True,232,1.4397,0.0002,False
03-07,gpt,sentence,conditional_OR(L1_ds),True,259,0.839,0.0519,False
03-08,gpt,sentence,conditional_OR(L1_ds),True,173,2.1243,0.0,False
04-05,gpt,sentence,conditional_OR(L1_ds),True,127,1.0352,0.8571,False
04-06,gpt,sentence,conditional_OR(L1_ds),True,81,0.7807,0.0773,False
04-07,gpt,sentence,conditional_OR(L1_ds),True,110,0.6389,0.0017,False
04-08,gpt,sentence,conditional_OR(L1_ds),True,110,3.3348,0.0,False
05-06,gpt,sentence,conditional_OR(L1_ds),True,482,0.4482,0.0,False
05-07,gpt,sentence,conditional_OR(L1_ds),True,1136,1.1179,0.0628,False
05-08,gpt,sentence,conditional_OR(L1_ds),True,513,1.0184,0.8314,False
06-07,gpt,sentence,conditional_OR(L1_ds),True,1578,1.5991,0.0,False
06-08,gpt,sentence,conditional_OR(L1_ds),True,238,0.7405,0.0007,False
07-08,gpt,sentence,conditional_OR(L1_ds),True,581,1.9597,0.0,False
01-02,gpt,document,raw_OR,False,381,10.525,,False
01-03,gpt,document,raw_OR,False,392,10.9687,,False
01-04,gpt,document,raw_OR,False,183,3.6316,,False
01-05,gpt,document,raw_OR,False,834,8.602,,False
01-06,gpt,document,raw_OR,False,795,2.2212,,False
01-07,gpt,document,raw_OR,False,890,2.9903,,False
01-08,gpt,document,raw_OR,False,510,6.1686,,False
02-03,gpt,document,raw_OR,False,161,4.3091,,False
02-04,gpt,document,raw_OR,False,93,3.6305,,False
02-05,gpt,document,raw_OR,False,387,11.5253,,False
02-06,gpt,document,raw_OR,False,314,2.116,,False
02-07,gpt,document,raw_OR,False,359,3.0702,,False
02-08,gpt,document,raw_OR,False,255,6.2128,,False
03-04,gpt,document,raw_OR,False,61,1.8009,,False
03-05,gpt,document,raw_OR,False,354,6.4246,,False
03-06,gpt,document,raw_OR,False,357,3.2005,,False
03-07,gpt,document,raw_OR,False,362,2.8725,,False
03-08,gpt,document,raw_OR,False,231,4.5336,,False
04-05,gpt,document,raw_OR,False,175,3.1553,,False
04-06,gpt,document,raw_OR,False,196,2.3224,,False
04-07,gpt,document,raw_OR,False,209,2.5353,,False
04-08,gpt,document,raw_OR,False,140,4.2783,,False
05-06,gpt,document,raw_OR,False,773,1.9512,,False
05-07,gpt,document,raw_OR,False,896,3.0516,,False
05-08,gpt,document,raw_OR,False,495,5.4053,,False
06-07,gpt,document,raw_OR,False,1290,5.1055,,False
06-08,gpt,document,raw_OR,False,492,2.3295,,False
07-08,gpt,document,raw_OR,False,587,4.4582,,False
01-02,gpt,document,raw_OR,True,381,10.525,,False
01-03,gpt,document,raw_OR,True,392,10.9687,,False
01-04,gpt,document,raw_OR,True,183,3.6316,,False
01-05,gpt,document,raw_OR,True,834,8.602,,False
01-06,gpt,document,raw_OR,True,795,2.2212,,False
01-07,gpt,document,raw_OR,True,890,2.9903,,False
01-08,gpt,document,raw_OR,True,510,6.1686,,False
02-03,gpt,document,raw_OR,True,161,4.3091,,False
02-04,gpt,document,raw_OR,True,93,3.6305,,False
02-05,gpt,document,raw_OR,True,387,11.5253,,False
02-06,gpt,document,raw_OR,True,314,2.116,,False
02-07,gpt,document,raw_OR,True,359,3.0702,,False
02-08,gpt,document,raw_OR,True,255,6.2128,,False
03-04,gpt,document,raw_OR,True,61,1.8009,,False
03-05,gpt,document,raw_OR,True,354,6.4246,,False
03-06,gpt,document,raw_OR,True,357,3.2005,,False
03-07,gpt,document,raw_OR,True,362,2.8725,,False
03-08,gpt,document,raw_OR,True,231,4.5336,,False
04-05,gpt,document,raw_OR,True,175,3.1553,,False
04-06,gpt,document,raw_OR,True,196,2.3224,,False
04-07,gpt,document,raw_OR,True,209,2.5353,,False
04-08,gpt,document,raw_OR,True,140,4.2783,,False
05-06,gpt,document,raw_OR,True,773,1.9512,,False
05-07,gpt,document,raw_OR,True,896,3.0516,,False
05-08,gpt,document,raw_OR,True,495,5.4053,,False
06-07,gpt,document,raw_OR,True,1290,5.1055,,False
06-08,gpt,document,raw_OR,True,492,2.3295,,False
07-08,gpt,document,raw_OR,True,587,4.4582,,False
01-02,gpt,document,lift,False,381,2.222,,False
01-03,gpt,document,lift,False,392,2.2336,,False
01-04,gpt,document,lift,False,183,1.7801,,False
01-05,gpt,document,lift,False,834,1.8245,,False
01-06,gpt,document,lift,False,795,1.2394,,False
01-07,gpt,document,lift,False,890,1.2956,,False
01-08,gpt,document,lift,False,510,1.9106,,False
02-03,gpt,document,lift,False,161,2.4378,,False
02-04,gpt,document,lift,False,93,2.4039,,False
02-05,gpt,document,lift,False,387,2.2498,,False
02-06,gpt,document,lift,False,314,1.3009,,False
02-07,gpt,document,lift,False,359,1.3887,,False
02-08,gpt,document,lift,False,255,2.5387,,False
03-04,gpt,document,lift,False,61,1.5405,,False
03-05,gpt,document,lift,False,354,2.0106,,False
03-06,gpt,document,lift,False,357,1.445,,False
03-07,gpt,document,lift,False,362,1.3681,,False
03-08,gpt,document,lift,False,231,2.2468,,False
04-05,gpt,document,lift,False,175,1.6968,,False
04-06,gpt,document,lift,False,196,1.3543,,False
04-07,gpt,document,lift,False,209,1.3484,,False
04-08,gpt,document,lift,False,140,2.3246,,False
05-06,gpt,document,lift,False,773,1.2013,,False
05-07,gpt,document,lift,False,896,1.3001,,False
05-08,gpt,document,lift,False,495,1.8485,,False
06-07,gpt,document,lift,False,1290,1.334,,False
06-08,gpt,document,lift,False,492,1.3093,,False
07-08,gpt,document,lift,False,587,1.4586,,False
01-02,gpt,document,lift,True,381,2.222,,False
01-03,gpt,document,lift,True,392,2.2336,,False
01-04,gpt,document,lift,True,183,1.7801,,False
01-05,gpt,document,lift,True,834,1.8245,,False
01-06,gpt,document,lift,True,795,1.2394,,False
01-07,gpt,document,lift,True,890,1.2956,,False
01-08,gpt,document,lift,True,510,1.9106,,False
02-03,gpt,document,lift,True,161,2.4378,,False
02-04,gpt,document,lift,True,93,2.4039,,False
02-05,gpt,document,lift,True,387,2.2498,,False
02-06,gpt,document,lift,True,314,1.3009,,False
02-07,gpt,document,lift,True,359,1.3887,,False
02-08,gpt,document,lift,True,255,2.5387,,False
03-04,gpt,document,lift,True,61,1.5405,,False
03-05,gpt,document,lift,True,354,2.0106,,False
03-06,gpt,document,lift,True,357,1.445,,False
03-07,gpt,document,lift,True,362,1.3681,,False
03-08,gpt,document,lift,True,231,2.2468,,False
04-05,gpt,document,lift,True,175,1.6968,,False
04-06,gpt,document,lift,True,196,1.3543,,False
04-07,gpt,document,lift,True,209,1.3484,,False
04-08,gpt,document,lift,True,140,2.3246,,False
05-06,gpt,document,lift,True,773,1.2013,,False
05-07,gpt,document,lift,True,896,1.3001,,False
05-08,gpt,document,lift,True,495,1.8485,,False
06-07,gpt,document,lift,True,1290,1.334,,False
06-08,gpt,document,lift,True,492,1.3093,,False
07-08,gpt,document,lift,True,587,1.4586,,False
01-02,gpt,document,null_model,False,381,1.2253,0.0066,False
01-03,gpt,document,null_model,False,392,1.2369,0.0066,False
01-04,gpt,document,null_model,False,183,0.977,0.6047,False
01-05,gpt,document,null_model,False,834,1.1764,0.0066,False
01-06,gpt,document,null_model,False,795,0.8929,0.0066,False
01-07,gpt,document,null_model,False,890,0.9499,0.0066,False
01-08,gpt,document,null_model,False,510,1.1114,0.0066,False
02-03,gpt,document,null_model,False,161,1.0759,0.1993,False
02-04,gpt,document,null_model,False,93,1.0333,0.7575,False
02-05,gpt,document,null_model,False,387,1.2423,0.0066,False
02-06,gpt,document,null_model,False,314,0.8484,0.0066,False
02-07,gpt,document,null_model,False,359,0.9337,0.0066,False
02-08,gpt,document,null_model,False,255,1.19,0.0066,False
03-04,gpt,document,null_model,False,61,0.6796,0.0066,False
03-05,gpt,document,null_model,False,354,1.1237,0.0066,False
03-06,gpt,document,null_model,False,357,0.9446,0.0266,False
03-07,gpt,document,null_model,False,362,0.9239,0.0066,False
03-08,gpt,document,null_model,False,231,1.0636,0.1395,False
04-05,gpt,document,null_model,False,175,0.9369,0.1063,False
04-06,gpt,document,null_model,False,196,0.8777,0.0066,False
04-07,gpt,document,null_model,False,209,0.9015,0.0066,False
04-08,gpt,document,null_model,False,140,1.0822,0.1661,False
05-06,gpt,document,null_model,False,773,0.867,0.0066,False
05-07,gpt,document,null_model,False,896,0.9537,0.0066,False
05-08,gpt,document,null_model,False,495,1.0777,0.0066,False
06-07,gpt,document,null_model,False,1290,1.0332,0.0066,False
06-08,gpt,document,null_model,False,492,0.8827,0.0066,False
07-08,gpt,document,null_model,False,587,1.0083,0.6977,False
01-02,gpt,document,null_model,True,381,1.2253,0.0066,False
01-03,gpt,document,null_model,True,392,1.2369,0.0066,False
01-04,gpt,document,null_model,True,183,0.977,0.6047,False
01-05,gpt,document,null_model,True,834,1.1764,0.0066,False
01-06,gpt,document,null_model,True,795,0.8929,0.0066,False
01-07,gpt,document,null_model,True,890,0.9499,0.0066,False
01-08,gpt,document,null_model,True,510,1.1114,0.0066,False
02-03,gpt,document,null_model,True,161,1.0759,0.1993,False
02-04,gpt,document,null_model,True,93,1.0333,0.7575,False
02-05,gpt,document,null_model,True,387,1.2423,0.0066,False
02-06,gpt,document,null_model,True,314,0.8484,0.0066,False
02-07,gpt,document,null_model,True,359,0.9337,0.0066,False
02-08,gpt,document,null_model,True,255,1.19,0.0066,False
03-04,gpt,document,null_model,True,61,0.6796,0.0066,False
03-05,gpt,document,null_model,True,354,1.1237,0.0066,False
03-06,gpt,document,null_model,True,357,0.9446,0.0266,False
03-07,gpt,document,null_model,True,362,0.9239,0.0066,False
03-08,gpt,document,null_model,True,231,1.0636,0.1395,False
04-05,gpt,document,null_model,True,175,0.9369,0.1063,False
04-06,gpt,document,null_model,True,196,0.8777,0.0066,False
04-07,gpt,document,null_model,True,209,0.9015,0.0066,False
04-08,gpt,document,null_model,True,140,1.0822,0.1661,False
05-06,gpt,document,null_model,True,773,0.867,0.0066,False
05-07,gpt,document,null_model,True,896,0.9537,0.0066,False
05-08,gpt,document,null_model,True,495,1.0777,0.0066,False
06-07,gpt,document,null_model,True,1290,1.0332,0.0066,False
06-08,gpt,document,null_model,True,492,0.8827,0.0066,False
07-08,gpt,document,null_model,True,587,1.0083,0.6977,False
